uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,targetTaxaPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,additionalSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"7ed185d3-4a89-46fd-a555-03a2229bfdde","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","31","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","ANNE","Antennaria neglecta Greene","species","Asteraceae","N",,,,,,"Y",,"0000-0002-1289-3729","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"6b45100c-cc04-4bea-b81e-cd3926dbf5f3","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.3.10","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","BABR2","Baptisia bracteata Muhl. ex Elliott","species","Fabaceae","N",,,,,,"Y",,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"a25d91c0-c994-4e2d-83e8-a9600de4bed9","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","32","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","LEVI6","Lespedeza violacea (L.) Pers.","species","Fabaceae","N",,,,,,"Y",,"0000-0002-1289-3729","0000-0001-6709-8856","OK",,"OK - no known exceptions"
"44ecb48a-9c30-4e24-a336-ceb49b892bd5","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40.3.10","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","SOMI2","Solidago missouriensis Nutt.","species","Asteraceae","N",,,,,,"Y",,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"89d256a3-6081-4279-b7f5-d49a0974756b","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","32.4.10","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","SPCO16","Sporobolus compositus (Poir.) Merr.","species","Poaceae","N",,,,,,"Y",,"0000-0002-1289-3729","0000-0001-6709-8856","OK",,"OK - no known exceptions"
"651846dd-9be1-4017-a5e3-b516b2d67191","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","31","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","CASE12","Calylophus serrulatus (Nutt.) P.H. Raven","species","Onagraceae","N",,,,,,"Y",,"0000-0002-1289-3729","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"eb4d0a1a-384f-492b-8798-0766cb066c66","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","32.2.10","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","SYOB","Symphyotrichum oblongifolium (Nutt.) G.L. Nesom","species","Asteraceae","N",,,,,,"Y",,"0000-0002-1289-3729","0000-0001-6709-8856","OK",,"OK - no known exceptions"
"8b2afa1c-ad06-44d5-b6fc-806db6fcc8d5","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","41.4.10","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","CAREX","Carex sp.","genus","Cyperaceae","UNK",,,,,,"Y",,"0000-0001-6709-8856","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"26b4b3da-a499-4f3a-a03f-3374a001afe2","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","41","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","DAMU","Dalea multiflora (Nutt.) Shinners","species","Fabaceae","N",,,,,,"Y",,"0000-0001-6709-8856","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"db85b75a-a7e8-4552-9fc7-d9617d24151c","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","41.4.10","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","ASVI","Asclepias viridiflora Raf.","species","Asclepiadaceae","N",,,,,,"Y",,"0000-0001-6709-8856","0000-0002-9241-5582","OK",,"OK - no known exceptions"
"cc83a020-6650-4e65-89f2-0c6cd5b6e2c3","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","40","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","PSTE5","Psoralidium tenuiflorum (Pursh) Rydb.","species","Fabaceae","N",,,,,,"Y",,"0000-0001-6709-8856","0000-0002-1289-3729","OK",,"OK - no known exceptions"
"82a463f3-4b69-4ca5-ae00-db597dcc7197","KONZ_001.basePlot.div","D06","KONZ",39.075067,-96.555874,"WGS84",20.10,437.8,0.2,"distributed","grasslandHerbaceous","KONZ_001","32","2021-08-04",1,"KONZ_001.1.2021","NEON.DOC.014042vL","Y","VEBA","Vernonia baldwinii Torr.","species","Asteraceae","N",,,,,,"Y",,"0000-0002-1289-3729","0000-0001-6709-8856","OK",,"OK - no known exceptions"
