prcp(mm/day),srad(W/m2),swe(kg/m2),tmax(C),tmin(C),vp(Pa),fapar(-),lat,lon,elev_measured(m),elev_Daymet(m),CO2(ppm),t(C),year_mean,yday_mean
0.0,1191.27,317.17,3.22,-26.54,151.65,0.19,47.1282,-99.24133399999998,591.0,583.0,369.09000000000003,-11.834999999999999,2000.0,4.0
3.43,1106.2200000000003,333.45,3.19,-23.09,205.7042857142857,0.19,47.1282,-99.24133399999998,591.0,583.0,369.09000000000003,-10.682142857142859,2000.0,11.0
0.0,1350.4199999999998,341.11,2.25,-25.08,127.13,0.19,47.1282,-99.24133399999998,591.0,583.0,369.09000000000003,-13.992142857142857,2000.0,18.0
0.0,1313.23,341.11,-2.72,-18.54,185.49714285714285,0.19,47.1282,-99.24133399999998,591.0,583.0,369.09000000000003,-10.932857142857143,2000.0,25.0
0.0,1418.85,341.11,5.49,-14.8,262.85285714285715,0.19,47.1282,-99.24133399999998,591.0,583.0,368.8957142857143,-6.475,2000.0,32.0
4.12,1808.5000000000002,353.5,9.32,-27.1,178.10857142857145,0.19,47.1282,-99.24133399999998,591.0,583.0,368.75,-8.945714285714287,2000.0,39.0
6.13,1711.1400000000003,401.48,-5.74,-22.87,142.8014285714286,0.19,47.1282,-99.24133399999998,591.0,583.0,368.75,-13.752142857142857,2000.0,46.0
31.0,1862.2200000000003,401.96,10.95,-17.46,341.48285714285714,0.19,47.1282,-99.24133399999998,591.0,583.0,368.75,-0.9942857142857141,2000.0,53.0
0.0,2050.83,325.03000000000003,13.95,-4.45,438.94999999999993,0.19,47.1282,-99.24133399999998,591.0,583.0,368.87,2.709285714285714,2000.0,60.0
12.92,2473.33,287.5799999999999,18.06,-15.34,321.75857142857143,0.211,47.1282,-99.24133399999998,591.0,583.0,369.03000000000003,1.4585714285714289,2000.0,67.0
0.0,2276.25,324.30999999999995,3.16,-15.7,275.4557142857143,0.1801666666666666,47.1282,-99.24133399999998,591.0,583.0,369.03000000000003,-5.675714285714285,2000.0,74.0
2.16,2540.27,280.75,15.25,-5.13,449.0142857142858,0.137,47.1282,-99.24133399999998,591.0,583.0,369.03000000000003,4.405714285714287,2000.0,81.0
0.0,2934.12,182.87,13.26,-8.71,368.67571428571426,0.1996666666666666,47.1282,-99.24133399999998,591.0,583.0,369.03000000000003,3.882142857142857,2000.0,88.0
0.0,2977.25,104.24999999999999,13.16,-6.24,333.1942857142857,0.213,47.1282,-99.24133399999998,591.0,583.0,369.0,2.7192857142857143,2000.0,95.0
10.4,2742.79,75.58,14.07,-9.52,300.51714285714286,0.208,47.1282,-99.24133399999998,591.0,583.0,369.0,-0.18714285714285703,2000.0,102.0
5.0,3428.3099999999995,46.37,22.22,-10.88,280.97999999999996,0.211,47.1282,-99.24133399999998,591.0,583.0,369.0,3.7228571428571433,2000.0,109.0
8.01,2896.9100000000003,0.0,20.53,2.15,548.7814285714286,0.28,47.1282,-99.24133399999998,591.0,583.0,369.0,11.620714285714286,2000.0,116.0
7.27,3136.64,0.0,28.5,3.79,629.9357142857143,0.3,47.1282,-99.24133399999998,591.0,583.0,368.72142857142865,15.418571428571429,2000.0,123.0
28.29,1998.96,0.0,22.63,2.3,836.4971428571428,0.374,47.1282,-99.24133399999998,591.0,583.0,368.61000000000007,11.480714285714285,2000.0,130.0
3.59,2904.99,0.0,22.18,-0.03,610.1785714285714,0.432,47.1282,-99.24133399999998,591.0,583.0,368.61000000000007,9.695000000000002,2000.0,137.0
0.0,3180.5099999999998,0.0,24.05,4.08,702.7271428571429,0.452,47.1282,-99.24133399999998,591.0,583.0,368.61000000000007,14.748571428571429,2000.0,144.0
13.83,2440.46,0.0,22.0,4.47,765.8028571428571,0.523,47.1282,-99.24133399999998,591.0,583.0,368.80428571428575,12.781428571428572,2000.0,151.0
5.49,3206.74,0.0,30.59,5.85,693.6942857142857,0.596,47.1282,-99.24133399999998,591.0,583.0,369.29,16.951428571428572,2000.0,158.0
79.37,2213.23,0.0,27.64,5.69,1068.6385714285714,0.53,47.1282,-99.24133399999998,591.0,583.0,369.29,16.35571428571428,2000.0,165.0
17.96,2433.95,0.0,26.81,5.99,1176.501428571429,0.6265000000000001,47.1282,-99.24133399999998,591.0,583.0,369.29,15.598571428571429,2000.0,172.0
3.04,3000.26,0.0,29.98,7.25,1155.9085714285716,0.645,47.1282,-99.24133399999998,591.0,583.0,369.29,16.844285714285714,2000.0,179.0
48.769999999999996,2288.45,0.0,30.76,13.88,1836.2228571428573,0.5938571428571429,47.1282,-99.24133399999998,591.0,583.0,369.38000000000005,21.719285714285714,2000.0,186.0
30.64,2715.2999999999997,0.0,31.12,15.63,1899.1971428571428,0.629,47.1282,-99.24133399999998,591.0,583.0,369.38000000000005,22.562857142857144,2000.0,193.0
5.38,2534.89,0.0,28.95,8.19,1353.2785714285712,0.664,47.1282,-99.24133399999998,591.0,583.0,369.38000000000005,16.462142857142858,2000.0,200.0
4.8,2857.7599999999998,0.0,29.25,11.06,1665.2142857142858,0.6,47.1282,-99.24133399999998,591.0,583.0,369.38000000000005,21.104285714285716,2000.0,207.0
