prcp(mm/day),srad(W/m2),swe(kg/m2),tmax(C),tmin(C),vp(Pa),fapar(-),lat,lon,elev_measured(m),elev_Daymet(m),CO2(ppm),t(C),year_mean,yday_mean
3.23,1663.5700000000002,62.98,17.68,-12.0,394.7228571428571,0.209,39.100774,-96.56307500000001,414.0,399.0,369.09000000000003,0.3792857142857144,2000.0,4.0
0.59,1762.92,23.720000000000002,12.48,-7.77,458.2828571428572,0.209,39.100774,-96.56307500000001,414.0,399.0,369.09000000000003,2.537857142857143,2000.0,11.0
0.0,1761.13,0.01,15.36,-11.94,428.4442857142857,0.209,39.100774,-96.56307500000001,414.0,399.0,369.09000000000003,1.8464285714285713,2000.0,18.0
2.87,1367.9,4.57,11.45,-13.27,343.4814285714286,0.2103199999999999,39.100774,-96.56307500000001,414.0,399.0,369.09000000000003,-3.005,2000.0,25.0
0.0,1807.88,19.610000000000003,9.87,-12.83,299.7557142857143,0.2134,39.100774,-96.56307500000001,414.0,399.0,368.8957142857143,-3.225714285714286,2000.0,32.0
1.36,2327.67,9.930000000000001,17.09,-10.73,189.64714285714288,0.21648,39.100774,-96.56307500000001,414.0,399.0,368.75,2.6021428571428573,2000.0,39.0
9.15,1710.79,0.0,19.11,-10.35,289.70285714285717,0.21956,39.100774,-96.56307500000001,414.0,399.0,368.75,0.8714285714285713,2000.0,46.0
55.05,1974.94,0.0,23.22,-6.36,640.4214285714286,0.222,39.100774,-96.56307500000001,414.0,399.0,368.75,10.819285714285712,2000.0,53.0
15.59,2118.3199999999997,0.0,20.97,-1.94,640.2028571428572,0.1965,39.100774,-96.56307500000001,414.0,399.0,368.87,7.903571428571429,2000.0,60.0
4.4,2322.9700000000003,0.0,24.66,-4.99,783.2900000000001,0.232,39.100774,-96.56307500000001,414.0,399.0,369.03000000000003,10.239285714285714,2000.0,67.0
16.71,2270.83,0.0,15.78,-3.78,530.38,0.22,39.100774,-96.56307500000001,414.0,399.0,369.03000000000003,4.650714285714286,2000.0,74.0
35.28,1785.69,0.0,20.19,0.09,827.8742857142857,0.216,39.100774,-96.56307500000001,414.0,399.0,369.03000000000003,8.632857142857144,2000.0,81.0
9.93,3010.2799999999997,0.0,24.28,-2.97,683.2871428571428,0.2323333333333333,39.100774,-96.56307500000001,414.0,399.0,369.03000000000003,9.981428571428571,2000.0,88.0
1.65,2892.7499999999995,0.0,31.72,-2.34,771.6185714285715,0.2637142857142857,39.100774,-96.56307500000001,414.0,399.0,369.0,10.989285714285716,2000.0,95.0
0.0,3313.6,0.0,26.41,-1.96,713.6628571428572,0.274,39.100774,-96.56307500000001,414.0,399.0,369.0,11.027857142857142,2000.0,102.0
20.59,2748.43,0.0,27.95,1.84,889.8499999999998,0.335,39.100774,-96.56307500000001,414.0,399.0,369.0,12.72,2000.0,109.0
15.83,2661.1099999999997,0.0,26.05,4.61,1043.5357142857142,0.3666363636363636,39.100774,-96.56307500000001,414.0,399.0,369.0,14.485,2000.0,116.0
11.8,2634.38,0.0,26.46,6.08,1265.8057142857142,0.45,39.100774,-96.56307500000001,414.0,399.0,368.72142857142865,16.827142857142857,2000.0,123.0
11.85,2447.3199999999997,0.0,35.52,8.48,1661.6314285714286,0.5680000000000001,39.100774,-96.56307500000001,414.0,399.0,368.61000000000007,20.31357142857143,2000.0,130.0
0.0,2771.65,0.0,24.67,5.09,1255.9714285714285,0.611,39.100774,-96.56307500000001,414.0,399.0,368.61000000000007,15.642857142857142,2000.0,137.0
45.38,2994.4900000000002,0.0,33.22,5.36,1417.317142857143,0.6174,39.100774,-96.56307500000001,414.0,399.0,368.61000000000007,20.749999999999996,2000.0,144.0
18.22,2959.04,0.0,34.82,10.9,1887.3614285714286,0.623,39.100774,-96.56307500000001,414.0,399.0,368.80428571428575,24.078571428571426,2000.0,151.0
0.0,3157.75,0.0,31.36,8.84,1491.8357142857146,0.613,39.100774,-96.56307500000001,414.0,399.0,369.29,20.595000000000002,2000.0,158.0
27.31,2484.4100000000003,0.0,33.2,12.94,2098.8657142857146,0.5525384615384615,39.100774,-96.56307500000001,414.0,399.0,369.29,24.224285714285713,2000.0,165.0
72.41,2712.44,0.0,32.74,8.96,1772.7271428571426,0.5538846153846154,39.100774,-96.56307500000001,414.0,399.0,369.29,21.83214285714286,2000.0,172.0
40.33,2367.4200000000005,0.0,32.75,10.91,1891.66,0.5552307692307693,39.100774,-96.56307500000001,414.0,399.0,369.29,21.967857142857145,2000.0,179.0
