date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2017-11-01",0.65,0.00,3.64,0.15,0.00,85473.0,0
"2017-11-02",0.48,0.00,2.76,0.10,0.00,86378.0,0
"2017-11-03",0.42,0.00,3.12,0.07,0.00,86369.0,0
"2017-11-04",0.51,0.00,2.82,0.12,0.00,82215.0,0
"2017-11-05",0.43,0.00,1.96,0.10,0.00,16997.0,1
"2017-11-06",0.43,0.00,2.57,0.08,0.00,22423.0,1
"2017-11-07",0.41,0.00,2.80,0.07,0.00,83678.0,0
"2017-11-08",0.41,0.00,2.81,0.08,0.00,86367.0,0
"2017-11-09",0.61,0.00,5.75,0.22,0.00,85480.0,0
"2017-11-10",0.52,0.00,3.41,0.14,0.00,86356.0,0
"2017-11-11",0.85,0.00,3.72,0.20,0.00,86370.0,0
"2017-11-12",0.23,0.00,1.81,0.03,0.00,86378.0,0
"2017-11-13",0.33,0.00,2.33,0.05,0.00,86372.0,0
"2017-11-14",0.56,0.00,2.57,0.07,0.00,86376.0,0
"2017-11-15",0.55,0.00,5.39,0.15,0.00,86372.0,0
"2017-11-16",0.63,0.00,5.96,0.18,0.00,86374.0,0
"2017-11-17",1.02,0.00,3.83,0.27,0.00,86367.0,0
"2017-11-18",0.43,0.00,3.58,0.09,0.00,86377.0,0
"2017-11-19",0.53,0.00,4.96,0.12,0.00,86375.0,0
"2017-11-20",0.48,0.00,2.73,0.09,0.00,86374.0,0
"2017-11-21",0.79,0.00,5.09,0.23,0.00,86375.0,0
"2017-11-22",0.48,0.00,3.29,0.09,0.00,86375.0,0
"2017-11-23",0.41,0.00,3.40,0.06,0.00,86371.0,0
"2017-11-24",0.65,0.00,4.39,0.13,0.00,86377.0,0
"2017-11-25",0.75,0.00,5.17,0.21,0.00,86375.0,0
"2017-11-26",0.47,0.00,3.00,0.10,0.00,86375.0,0
"2017-11-27",0.75,0.00,3.68,0.33,0.00,86376.0,0
"2017-11-28",0.78,0.00,4.79,0.30,0.00,86379.0,0
"2017-11-29",0.74,0.00,5.64,0.24,0.00,86369.0,0
"2017-11-30",0.85,0.00,4.85,0.26,0.00,86369.0,0
