date,wssPrecipTotal,precipQF
"2020-08-01",0.120,0
"2020-08-02",0.040,0
"2020-08-03",0.140,0
"2020-08-04",0.190,0
"2020-08-05",0.210,0
"2020-08-06",0.040,0
"2020-08-07",0.220,0
"2020-08-08",0.270,0
"2020-08-09",0.180,0
"2020-08-10",0.150,0
"2020-08-11",0.310,0
"2020-08-12",0.170,0
"2020-08-13",0.170,0
"2020-08-14",0.120,0
"2020-08-15",0.170,0
"2020-08-16",0.040,0
"2020-08-17",0.040,0
"2020-08-18",0.070,0
"2020-08-19",0.200,0
"2020-08-20",0.060,0
"2020-08-21",0.190,0
"2020-08-22",0.110,0
"2020-08-23",0.140,0
"2020-08-24",0.040,0
"2020-08-25",0.230,0
"2020-08-26",0.110,0
"2020-08-27",0.090,0
"2020-08-28",0.150,0
"2020-08-29",0.060,0
"2020-08-30",0.190,0
"2020-08-31",0.330,0
