date,wssPrecipTotal,precipQF
"2018-03-01",0.330,1
"2018-03-02",0.180,1
"2018-03-03",0.000,1
"2018-03-04",0.000,1
"2018-03-05",8.070,1
"2018-03-06",2.590,1
"2018-03-07",0.180,0
"2018-03-08",0.320,1
"2018-03-09",0.070,1
"2018-03-10",0.040,1
"2018-03-11",0.240,1
"2018-03-12",0.210,1
"2018-03-13",0.170,1
"2018-03-14",0.050,1
"2018-03-15",0.200,1
"2018-03-16",0.120,0
"2018-03-17",0.160,0
"2018-03-18",0.310,1
"2018-03-19",6.510,1
"2018-03-20",0.040,1
"2018-03-21",0.140,1
"2018-03-22",0.050,1
"2018-03-23",0.900,1
"2018-03-24",2.210,1
"2018-03-25",1.340,1
"2018-03-26",0.060,1
"2018-03-27",0.070,1
"2018-03-28",0.090,1
"2018-03-29",0.370,1
"2018-03-30",2.570,1
"2018-03-31",2.260,0
