date,wssPrecipTotal,precipQF
"2019-09-01",0.640,0
"2019-09-02",0.860,0
"2019-09-03",0.860,0
"2019-09-04",0.720,0
"2019-09-05",0.530,1
"2019-09-06",3.750,0
"2019-09-07",0.810,0
"2019-09-08",1.140,0
"2019-09-09",2.070,0
"2019-09-10",0.790,0
"2019-09-11",0.020,0
"2019-09-12",0.780,0
"2019-09-13",0.750,0
"2019-09-14",0.830,0
"2019-09-15",0.780,0
"2019-09-16",1.070,0
"2019-09-17",0.950,0
"2019-09-18",0.830,1
"2019-09-19",0.540,0
"2019-09-20",7.290,0
"2019-09-21",4.240,0
"2019-09-22",0.340,0
"2019-09-23",0.490,1
"2019-09-24",0.180,0
"2019-09-25",0.830,0
"2019-09-26",0.740,0
"2019-09-27",1.170,0
"2019-09-28",2.560,0
"2019-09-29",7.270,1
"2019-09-30",0.290,1
