date,wssPrecipTotal,precipQF
"2020-02-01",0.300,0
"2020-02-02",0.290,0
"2020-02-03",3.600,0
"2020-02-04",1.560,0
"2020-02-05",0.630,0
"2020-02-06",3.000,1
"2020-02-07",0.390,0
"2020-02-08",0.310,0
"2020-02-09",0.510,0
"2020-02-10",0.660,0
"2020-02-11",0.600,0
"2020-02-12",0.430,0
"2020-02-13",0.300,0
"2020-02-14",0.220,0
"2020-02-15",0.340,0
"2020-02-16",1.930,0
"2020-02-17",1.060,0
"2020-02-18",0.370,0
"2020-02-19",0.670,0
"2020-02-20",0.640,0
"2020-02-21",0.290,0
"2020-02-22",0.420,0
"2020-02-23",0.560,0
"2020-02-24",0.830,0
"2020-02-25",0.440,0
"2020-02-26",0.490,0
"2020-02-27",0.520,0
"2020-02-28",0.270,0
"2020-02-29",0.540,0
