date,wssPrecipTotal,precipQF
"2019-08-01",0.560,0
"2019-08-02",0.770,0
"2019-08-03",0.880,0
"2019-08-04",0.520,0
"2019-08-05",2.700,0
"2019-08-06",0.620,0
"2019-08-07",0.570,0
"2019-08-08",0.600,0
"2019-08-09",0.520,0
"2019-08-10",0.550,0
"2019-08-11",0.630,0
"2019-08-12",0.590,0
"2019-08-13",6.750,0
"2019-08-14",0.720,0
"2019-08-15",0.630,0
"2019-08-16",17.040,0
"2019-08-17",0.780,0
"2019-08-18",11.290,0
"2019-08-19",0.640,0
"2019-08-20",0.830,0
"2019-08-21",0.750,0
"2019-08-22",0.260,0
"2019-08-23",0.620,0
"2019-08-24",0.800,0
"2019-08-25",0.880,0
"2019-08-26",0.670,0
"2019-08-27",11.080,0
"2019-08-28",3.420,0
"2019-08-29",1.890,0
"2019-08-30",0.690,0
"2019-08-31",0.640,0
