date,wssPrecipTotal,precipQF
"2021-09-01",0.530,0
"2021-09-02",0.350,0
"2021-09-03",24.960,1
"2021-09-04",17.890,1
"2021-09-05",0.790,1
"2021-09-06",0.740,1
"2021-09-07",0.930,1
"2021-09-08",1.860,0
"2021-09-09",0.980,0
"2021-09-10",0.790,0
"2021-09-11",0.940,0
"2021-09-12",1.270,0
"2021-09-13",1.310,0
"2021-09-14",0.410,0
"2021-09-15",1.720,1
"2021-09-16",1.190,0
"2021-09-17",1.440,0
"2021-09-18",1.910,0
"2021-09-19",1.620,0
"2021-09-20",0.860,1
"2021-09-21",1.000,0
"2021-09-22",0.910,0
"2021-09-23",1.160,0
"2021-09-24",0.630,0
"2021-09-25",1.530,0
"2021-09-26",0.700,0
"2021-09-27",0.610,0
"2021-09-28",0.890,0
"2021-09-29",0.750,0
"2021-09-30",1.390,0
