date,wssPrecipTotal,precipQF
"2021-07-01",4.290,0
"2021-07-02",17.810,0
"2021-07-03",4.810,0
"2021-07-04",4.430,0
"2021-07-05",1.840,1
"2021-07-06",9.950,0
"2021-07-07",1.600,0
"2021-07-08",9.340,0
"2021-07-09",21.220,0
"2021-07-10",3.280,0
"2021-07-11",1.050,0
"2021-07-12",36.410,0
"2021-07-13",3.380,0
"2021-07-14",3.110,1
"2021-07-15",1.480,0
"2021-07-16",1.660,0
"2021-07-17",6.970,0
"2021-07-18",46.560,0
"2021-07-19",4.950,0
"2021-07-20",0.650,0
"2021-07-21",1.500,1
"2021-07-22",1.480,0
"2021-07-23",1.280,0
"2021-07-24",0.800,0
"2021-07-25",2.480,0
"2021-07-26",1.540,0
"2021-07-27",4.620,0
"2021-07-28",1.130,0
"2021-07-29",5.680,0
"2021-07-30",2.000,1
"2021-07-31",1.240,0
