date,wssPrecipTotal,precipQF
"2020-05-01",0.860,0
"2020-05-02",0.650,0
"2020-05-03",1.330,0
"2020-05-04",0.620,0
"2020-05-05",1.120,0
"2020-05-06",1.250,0
"2020-05-07",0.940,0
"2020-05-08",0.480,0
"2020-05-09",1.000,0
"2020-05-10",1.170,0
"2020-05-11",1.140,0
"2020-05-12",0.530,0
"2020-05-13",0.470,0
"2020-05-14",0.560,0
"2020-05-15",0.660,0
"2020-05-16",0.460,0
"2020-05-17",0.380,0
"2020-05-18",0.760,0
"2020-05-19",0.380,0
"2020-05-20",0.440,0
"2020-05-21",1.280,1
"2020-05-22",11.520,0
"2020-05-23",0.510,0
"2020-05-24",0.220,0
"2020-05-25",0.000,1
"2020-05-26",0.040,1
"2020-05-27",0.810,0
"2020-05-28",6.810,0
"2020-05-29",0.350,0
"2020-05-30",0.740,0
"2020-05-31",0.910,0
