date,wssPrecipTotal,precipQF
"2018-12-01",0.970,1
"2018-12-02",1.280,1
"2018-12-03",1.180,1
"2018-12-04",2.340,1
"2018-12-05",0.880,1
"2018-12-06",1.270,0
"2018-12-07",2.150,1
"2018-12-08",1.760,1
"2018-12-09",1.200,1
"2018-12-10",1.670,1
"2018-12-11",0.020,1
"2018-12-12",0.480,1
"2018-12-13",0.460,1
"2018-12-14",0.500,1
"2018-12-15",0.180,0
"2018-12-16",0.530,0
"2018-12-17",0.690,0
"2018-12-18",0.190,0
"2018-12-19",1.120,1
"2018-12-20",1.400,1
"2018-12-21",1.420,1
"2018-12-22",1.220,1
"2018-12-23",2.410,1
"2018-12-24",0.270,1
"2018-12-25",1.290,1
"2018-12-26",0.830,1
"2018-12-27",0.360,1
"2018-12-28",0.820,1
"2018-12-29",0.170,1
"2018-12-30",0.560,1
"2018-12-31",0.290,1
