date,wssPrecipTotal,precipQF
"2020-10-01",0.930,0
"2020-10-02",0.700,0
"2020-10-03",0.520,0
"2020-10-04",10.030,0
"2020-10-05",0.760,0
"2020-10-06",0.730,0
"2020-10-07",0.980,0
"2020-10-08",1.400,0
"2020-10-09",2.180,0
"2020-10-10",17.770,0
"2020-10-11",1.720,0
"2020-10-12",2.190,0
"2020-10-13",1.490,0
"2020-10-14",0.990,0
"2020-10-15",0.860,0
"2020-10-16",1.140,0
"2020-10-17",0.900,0
"2020-10-18",0.990,0
"2020-10-19",4.200,0
"2020-10-20",3.030,0
"2020-10-21",1.090,0
"2020-10-22",20.020,0
"2020-10-23",17.110,0
"2020-10-24",1.170,0
"2020-10-25",1.450,0
"2020-10-26",0.930,0
"2020-10-27",1.490,0
"2020-10-28",1.350,0
"2020-10-29",1.740,0
"2020-10-30",0.980,0
"2020-10-31",0.770,0
