date,wssPrecipTotal,precipQF
"2018-09-01",1.450,0
"2018-09-02",2.250,0
"2018-09-03",1.400,0
"2018-09-04",1.410,0
"2018-09-05",1.150,0
"2018-09-06",1.390,0
"2018-09-07",1.530,0
"2018-09-08",2.360,0
"2018-09-09",1.430,0
"2018-09-10",4.960,0
"2018-09-11",2.470,0
"2018-09-12",9.180,0
"2018-09-13",3.900,0
"2018-09-14",1.710,0
"2018-09-15",1.540,0
"2018-09-16",23.720,0
"2018-09-17",1.310,0
"2018-09-18",2.070,0
"2018-09-19",1.550,0
"2018-09-20",2.140,0
"2018-09-21",1.490,0
"2018-09-22",10.270,0
"2018-09-23",2.530,0
"2018-09-24",1.610,0
"2018-09-25",1.690,0
"2018-09-26",1.670,0
"2018-09-27",1.250,0
"2018-09-28",1.760,0
"2018-09-29",1.960,0
"2018-09-30",0.850,0
