date,wssPrecipTotal,precipQF
"2017-11-01",0.210,0
"2017-11-02",0.620,0
"2017-11-03",0.910,0
"2017-11-04",5.440,0
"2017-11-05",2.460,0
"2017-11-06",0.950,0
"2017-11-07",17.840,0
"2017-11-08",1.050,0
"2017-11-09",1.380,0
"2017-11-10",0.460,0
"2017-11-11",0.800,0
"2017-11-12",0.210,0
"2017-11-13",1.150,0
"2017-11-14",0.510,0
"2017-11-15",0.270,0
"2017-11-16",1.670,0
"2017-11-17",0.470,0
"2017-11-18",1.170,0
"2017-11-19",0.620,0
"2017-11-20",1.340,0
"2017-11-21",0.880,0
"2017-11-22",1.090,0
"2017-11-23",1.660,0
"2017-11-24",1.020,0
"2017-11-25",0.650,0
"2017-11-26",1.240,0
"2017-11-27",1.270,0
"2017-11-28",1.200,0
"2017-11-29",1.160,0
"2017-11-30",1.290,0
