date,wssPrecipTotal,precipQF
"2022-01-01",1.360,0
"2022-01-02",19.000,0
"2022-01-03",4.780,0
"2022-01-04",0.050,1
"2022-01-05",0.060,1
"2022-01-06",2.230,0
"2022-01-07",0.960,0
"2022-01-08",0.850,0
"2022-01-09",20.090,0
"2022-01-10",1.120,0
"2022-01-11",0.820,0
"2022-01-12",0.740,0
"2022-01-13",0.690,0
"2022-01-14",1.080,0
"2022-01-15",8.390,0
"2022-01-16",37.090,0
"2022-01-17",1.310,0
"2022-01-18",1.010,0
"2022-01-19",1.240,0
"2022-01-20",16.510,0
"2022-01-21",1.490,0
"2022-01-22",2.050,0
"2022-01-23",0.830,0
"2022-01-24",0.680,0
"2022-01-25",1.240,0
"2022-01-26",0.980,0
"2022-01-27",0.790,0
"2022-01-28",1.690,0
"2022-01-29",1.290,0
"2022-01-30",0.570,0
"2022-01-31",0.650,0
