date,wssPrecipTotal,precipQF
"2021-05-01",0.310,1
"2021-05-02",0.060,1
"2021-05-03",1.110,1
"2021-05-04",0.630,1
"2021-05-05",0.630,1
"2021-05-06",0.490,1
"2021-05-07",0.480,1
"2021-05-08",0.770,1
"2021-05-09",6.260,1
"2021-05-10",0.620,1
"2021-05-11",0.470,1
"2021-05-12",1.980,1
"2021-05-13",0.650,1
"2021-05-14",0.280,1
"2021-05-15",2.380,1
"2021-05-16",24.330,1
"2021-05-17",0.250,1
"2021-05-18",0.720,1
"2021-05-19",7.910,0
"2021-05-20",0.940,0
"2021-05-21",2.580,0
"2021-05-22",1.750,0
"2021-05-23",2.170,0
"2021-05-24",1.460,0
"2021-05-25",2.140,0
"2021-05-26",1.610,0
"2021-05-27",13.370,1
"2021-05-28",1.520,0
"2021-05-29",1.450,0
"2021-05-30",0.780,0
"2021-05-31",6.820,0
