date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2021-07-01",1.14,0.00,8.08,0.65,0.00,86368.0,0
"2021-07-02",1.06,0.00,6.63,0.61,0.00,86370.0,0
"2021-07-03",1.25,0.00,7.09,0.66,0.00,86369.0,0
"2021-07-04",0.78,0.00,3.49,0.19,0.00,86374.0,0
"2021-07-05",0.70,0.00,3.52,0.18,0.00,86370.0,0
"2021-07-06",0.81,0.00,3.79,0.21,0.00,86370.0,0
"2021-07-07",0.81,0.00,5.18,0.23,0.00,86366.0,0
"2021-07-08",0.96,0.00,5.78,0.39,0.00,86368.0,0
"2021-07-09",1.26,0.00,8.04,0.61,0.00,86369.0,0
"2021-07-10",1.07,0.00,8.97,0.56,0.00,86375.0,0
"2021-07-11",1.40,0.00,9.52,0.89,0.00,86370.0,0
"2021-07-12",1.37,0.00,11.89,0.88,0.00,86364.0,0
"2021-07-13",1.48,0.00,6.89,0.83,0.00,86369.0,0
"2021-07-14",1.03,0.00,8.43,0.43,0.00,86365.0,0
"2021-07-15",0.83,0.00,5.26,0.27,0.00,86371.0,0
"2021-07-16",1.02,0.00,7.13,0.43,0.00,86372.0,0
"2021-07-17",1.12,0.00,6.03,0.49,0.00,86369.0,0
"2021-07-18",0.86,0.00,10.22,0.37,0.00,86370.0,0
"2021-07-19",0.76,0.00,10.23,0.33,0.00,86372.0,0
"2021-07-20",1.41,0.00,6.64,0.69,0.00,86367.0,0
"2021-07-21",0.71,0.00,3.52,0.15,0.00,86369.0,0
"2021-07-22",0.86,0.00,5.00,0.26,0.00,86373.0,0
"2021-07-23",0.99,0.00,6.11,0.44,0.00,86370.0,0
"2021-07-24",0.88,0.00,5.53,0.36,0.00,86370.0,0
"2021-07-25",0.88,0.00,5.78,0.29,0.00,86369.0,0
"2021-07-26",0.92,0.00,8.89,0.40,0.00,86372.0,0
"2021-07-27",0.78,0.00,4.76,0.23,0.00,86371.0,0
"2021-07-28",0.96,0.00,5.48,0.37,0.00,86366.0,0
"2021-07-29",0.79,0.00,4.37,0.25,0.00,86370.0,0
"2021-07-30",1.03,0.00,9.64,0.51,0.00,86371.0,0
"2021-07-31",0.83,0.00,4.68,0.31,0.00,86372.0,0
