date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2015-08-01",1.15,0.00,9.94,1.29,0.00,86369.0,0
"2015-08-02",1.25,0.00,11.09,1.20,0.00,86373.0,0
"2015-08-03",1.32,0.00,9.64,1.56,0.00,86375.0,0
"2015-08-04",1.42,0.00,8.64,1.34,0.00,86380.0,0
"2015-08-05",0.63,0.00,6.44,0.24,0.00,86370.0,0
"2015-08-06",1.03,0.00,6.55,0.73,0.00,86256.0,0
"2015-08-07",1.21,0.00,7.50,0.90,0.00,86381.0,0
"2015-08-08",1.16,0.00,8.03,1.03,0.00,86371.0,0
"2015-08-09",1.15,0.00,6.95,0.65,0.00,86369.0,0
"2015-08-10",1.08,0.00,7.17,0.87,0.00,86372.0,0
"2015-08-11",1.33,0.00,7.53,0.77,0.00,86368.0,0
"2015-08-12",0.94,0.00,7.95,0.74,0.00,86373.0,0
"2015-08-13",1.28,0.00,7.63,0.97,0.00,86369.0,0
"2015-08-14",1.08,0.00,8.62,0.92,0.00,86379.0,0
"2015-08-15",0.92,0.01,5.65,0.51,0.00,86372.0,0
"2015-08-16",1.59,0.00,9.65,1.43,0.00,86374.0,0
"2015-08-17",0.79,0.00,6.41,0.44,0.00,73429.0,0
"2015-08-18",0.80,0.00,5.97,0.40,0.00,86372.0,0
"2015-08-19",1.41,0.00,10.50,1.48,0.00,86373.0,0
"2015-08-20",1.39,0.00,9.79,1.28,0.00,86370.0,0
"2015-08-21",1.42,0.00,10.08,1.68,0.00,86377.0,0
"2015-08-22",2.30,0.00,16.21,3.13,0.01,86375.0,0
"2015-08-23",2.12,0.00,13.78,2.99,0.01,86375.0,0
"2015-08-24",2.05,0.00,12.29,2.43,0.01,83957.0,0
"2015-08-25",1.75,0.00,9.46,1.42,0.00,86371.0,0
"2015-08-26",1.32,0.00,7.23,1.01,0.00,86373.0,0
"2015-08-27",0.74,0.00,5.27,0.41,0.00,78663.0,0
"2015-08-28",1.37,0.00,8.21,0.95,0.00,86375.0,0
"2015-08-29",1.14,0.00,9.01,0.86,0.00,86377.0,0
"2015-08-30",1.40,0.00,8.59,1.26,0.00,86378.0,0
"2015-08-31",1.54,0.00,7.73,1.25,0.00,86374.0,0
