date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2018-04-01",45.80,-1.27,381.37,4592.38,0.23,86400.0,0
"2018-04-02",68.54,-1.22,337.66,7944.42,0.30,86400.0,0
"2018-04-03",130.35,-0.83,1171.27,42171.45,0.70,86400.0,0
"2018-04-04",269.68,-1.61,980.11,114638.43,1.15,86400.0,0
"2018-04-05",275.23,-1.87,906.61,117324.62,1.17,86399.0,0
"2018-04-06",138.60,-1.61,1061.36,40099.01,0.68,86400.0,0
"2018-04-07",284.36,-1.15,958.97,125955.03,1.21,86400.0,0
"2018-04-08",80.62,-1.93,925.32,14806.17,0.41,86400.0,0
"2018-04-09",183.41,-2.02,1478.24,64733.01,0.87,86400.0,0
"2018-04-10",250.21,-1.93,1245.85,111098.80,1.13,86400.0,0
"2018-04-11",180.17,-1.81,1022.48,56957.28,0.81,86400.0,0
"2018-04-12",251.58,-2.02,1021.14,94341.81,1.04,86400.0,0
"2018-04-13",219.46,-1.83,1031.27,87401.01,1.01,85450.0,0
"2018-04-14",46.52,-1.51,197.37,2790.52,0.18,86400.0,0
"2018-04-15",124.66,-0.86,1353.42,23743.03,0.52,86400.0,0
"2018-04-16",301.39,-0.71,952.56,135177.32,1.25,86400.0,0
"2018-04-17",284.15,-1.90,1189.20,115174.50,1.15,86400.0,0
"2018-04-18",172.86,-1.85,1425.84,80713.31,0.97,86400.0,0
"2018-04-19",314.37,-2.00,969.97,135328.48,1.25,86400.0,0
"2018-04-20",235.47,-1.88,999.37,96385.74,1.06,86400.0,0
"2018-04-21",35.41,-3.17,245.14,2378.71,0.17,86400.0,0
"2018-04-22",163.84,-1.08,1355.28,51408.02,0.77,86400.0,0
"2018-04-23",286.07,-1.64,1088.30,128651.47,1.22,86394.0,0
"2018-04-24",195.95,-2.24,1152.79,73529.32,0.92,86400.0,0
"2018-04-25",43.95,-1.17,275.25,3622.99,0.20,86400.0,0
"2018-04-26",115.83,-1.85,887.42,50140.38,0.92,58686.0,1
"2018-04-27",,,,-0.00,,0.0,1
"2018-04-28",,,,-0.00,,0.0,1
"2018-04-29",,,,-0.00,,0.0,1
"2018-04-30",461.16,85.15,742.86,31947.38,1.72,10742.0,1
