date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2018-12-01",20.11,-1.31,132.21,1178.19,0.12,86400.0,0
"2018-12-02",18.68,-1.28,119.57,1083.02,0.11,86400.0,0
"2018-12-03",16.93,-2.05,93.59,867.69,0.10,86400.0,0
"2018-12-04",50.68,-2.15,439.99,8639.49,0.32,86400.0,0
"2018-12-05",28.40,-2.41,235.42,2278.93,0.16,86400.0,0
"2018-12-06",50.97,-1.90,515.88,9163.56,0.33,86400.0,0
"2018-12-07",77.83,-2.19,366.67,16421.00,0.44,86400.0,0
"2018-12-08",65.06,-2.31,402.73,12609.00,0.38,86400.0,0
"2018-12-09",76.06,-2.52,363.25,15858.07,0.43,86400.0,0
"2018-12-10",70.16,-2.31,420.04,14640.55,0.42,84979.0,0
"2018-12-11",22.80,-2.37,124.92,1470.63,0.13,86400.0,0
"2018-12-12",39.98,-2.63,318.09,4723.90,0.23,86400.0,0
"2018-12-13",72.75,-2.24,353.53,14854.68,0.41,86399.0,0
"2018-12-14",62.83,-2.39,396.74,11396.05,0.36,86398.0,0
"2018-12-15",59.51,-2.37,437.70,10068.72,0.34,86400.0,0
"2018-12-16",55.88,-2.63,451.94,9771.01,0.34,86400.0,0
"2018-12-17",69.82,-2.32,338.97,13729.43,0.40,86400.0,0
"2018-12-18",66.12,-2.27,404.78,13481.43,0.40,86400.0,0
"2018-12-19",50.70,-2.32,357.93,8670.40,0.32,86400.0,0
"2018-12-20",68.04,-2.56,333.56,13057.80,0.39,86400.0,0
"2018-12-21",11.67,-2.61,88.48,492.26,0.08,86400.0,0
"2018-12-22",37.56,-2.29,332.80,4282.27,0.22,86400.0,0
"2018-12-23",32.65,-1.50,167.19,2961.74,0.19,86400.0,0
"2018-12-24",47.49,-2.39,503.95,7085.81,0.29,86400.0,0
"2018-12-25",44.80,-1.36,512.71,6073.82,0.27,86400.0,0
"2018-12-26",29.54,-0.97,170.58,2334.05,0.16,86400.0,0
"2018-12-27",30.60,-0.92,168.83,2612.30,0.17,86400.0,0
"2018-12-28",82.44,-1.45,391.04,18409.02,0.46,86400.0,0
"2018-12-29",67.26,-1.75,520.73,13194.06,0.39,86400.0,0
"2018-12-30",41.11,-1.43,306.41,4784.92,0.24,86400.0,0
"2018-12-31",64.22,-1.11,399.74,11634.99,0.37,86400.0,0
