uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"f2a45550-b5f5-4f32-8e75-ede3872c4799","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","31.1.1","2021-06-21",1,"YELL_002.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"rock",0.50,,,,"0000-0002-3973-0882","0000-0001-7752-1312","OK",,"OK - no known exceptions"
"c0aad143-065c-4a2d-8ff8-ad2c0d49d414","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","31.1.1","2021-06-21",1,"YELL_002.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","VINU2","Viola nuttallii Pursh","species","Violaceae","N","cf. species",,,,,,0.50,"N",,,"0000-0002-3973-0882","0000-0001-7752-1312","OK",,"OK - no known exceptions"
"6bb411dd-85be-4026-9b5f-523e5739be8b","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","31.1.1","2021-06-21",1,"YELL_002.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","CAREXSPP","Carex spp.","genus","Cyperaceae","UNK",,,,,,,0.50,"N",,,"0000-0002-3973-0882","0000-0001-7752-1312","OK",,"OK - no known exceptions"
"bf325aec-fd0a-4d5d-9a48-a131d942f593","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","31.1.1","2021-06-21",1,"YELL_002.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"standingDeadWoody",0.50,,,,"0000-0002-3973-0882","0000-0001-7752-1312","OK",,"OK - no known exceptions"
"7b5026db-7a7d-426a-bf2d-110903e4e126","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","31.1.1","2021-06-21",1,"YELL_002.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","2PLANT","Unknown plant","kingdom",,"UNK",,,,,,,0.50,"N",,"Seedling x2","0000-0002-3973-0882","0000-0001-7752-1312","OK",,"OK - no known exceptions"
"3f3c5259-e461-4336-8dc5-15d891fc6ecf","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","31.1.1","2021-06-21",1,"YELL_002.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"litter",90.00,,,,"0000-0002-3973-0882","0000-0001-7752-1312","OK",,"OK - no known exceptions"
"aea5cff5-0eff-4497-bc3f-809db0a4eeff","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","31.1.1","2021-06-21",1,"YELL_002.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"standingDeadHerbaceous",1.00,,,,"0000-0002-3973-0882","0000-0001-7752-1312","OK",,"OK - no known exceptions"
"ff7b0582-c0eb-4a86-8701-bb06e5feb450","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","31.1.1","2021-06-21",1,"YELL_002.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","ACRI8","Achnatherum richardsonii (Link) Barkworth","species","Poaceae","N",,,,,,,0.50,"N",,,"0000-0002-3973-0882","0000-0001-7752-1312","OK",,"OK - no known exceptions"
"06b47cf7-3b05-49b2-a133-6616f6dd8a53","YELL_009.basePlot.div","D12","YELL",44.970313,-110.501884,"WGS84",20.22,2000.3,0.2,"distributed","evergreenForest","YELL_009","32.2.1","2021-06-22",1,"YELL_009.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","PHPR3","Phleum pratense L.","species","Poaceae","I",,,,,,,0.50,"N",,,"0000-0002-3973-0882","0000-0002-3705-3064","OK",,"OK - no known exceptions"
"65543379-24ff-4eed-a85e-e3abc3d973b0","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","40.1.1","2021-06-22",1,"YELL_002.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"scat",0.50,,,,"0000-0003-4032-8716","0000-0002-0981-9704","OK",,"OK - no known exceptions"
"c0be6178-c542-4e1b-bd95-230ebeeaf11b","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","32.2.1","2021-06-22",1,"YELL_002.1.2021","NEON.DOC.014042vL","plantSpecies","Y","Y","GABO2","Galium boreale L.","species","Rubiaceae","N",,,,,,,0.50,"N",,,"0000-0002-8599-6163","0000-0001-9903-2499","OK",,"OK - no known exceptions"
"25f69f75-9dce-4fe1-aadf-0660f961b368","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","40.3.1","2021-06-22",1,"YELL_002.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"soil",2.00,,,,"0000-0003-4032-8716","0000-0002-0981-9704","OK",,"OK - no known exceptions"
"fd427e4e-eb94-42ff-8c58-96798c344063","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","40.3.1","2021-06-22",1,"YELL_002.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"standingDeadHerbaceous",0.50,,,,"0000-0003-4032-8716","0000-0002-0981-9704","OK",,"OK - no known exceptions"
"60dec0a3-940a-4f21-90fb-c59a21f30dbc","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","32.4.1","2021-06-22",1,"YELL_002.1.2021","NEON.DOC.014042vL","otherVariables","Y","Y",,,,,,,,,,,"wood",0.50,,,,"0000-0002-8599-6163","0000-0001-9903-2499","OK",,"OK - no known exceptions"
