experiment,site,latitude,longitude,elevation_m,c3_percent
texas_ecolab,Austin_2020_03,29.776805,-96.24351,66,
texas_ecolab,Bandera_2020_03,29.850369,-99.304193,469,
texas_ecolab,Bell_2020_05,31.0894,-97.413218,157,
texas_ecolab,Bell_2021_08,31.055926,-97.549379,252,
texas_ecolab,Bexar_2019_13,29.244832,-98.427454,154,
texas_ecolab,Blanco_2019_16,29.986237,-98.429976,434,
texas_ecolab,Brazos_2020_16,30.926287,-96.225878,77,
texas_ecolab,Brazos_2020_18,30.524669,-96.209114,73,
texas_ecolab,Burnet_2020_12,30.824885,-98.059505,360,
texas_ecolab,Burnet_2020_14,30.840194,-98.343954,321,
texas_ecolab,Comal_2020_19,30.00668,-98.31665,391,
texas_ecolab,Comal_2020_21,29.787704,-98.434563,351,
texas_ecolab,Edwards_2019_17,29.953118,-100.356582,694,
texas_ecolab,Fayette_2019_04,30.093534,-96.780727,114,
texas_ecolab,Fayette_2020_09,29.860296,-96.71418,103,
texas_ecolab,Fayette_2021_12,29.864081,-97.206843,154,
texas_ecolab,Harris_2020_03,29.877754,-95.309644,23,
texas_ecolab,Hays_2021_54,29.957819,-98.165764,276,
texas_ecolab,Kerr_2020_03,30.055868,-99.341589,551,
texas_ecolab,Menard_2020_01,30.912522,-99.573082,553,
texas_ecolab,Russel_2020_01,30.390675,-96.906408,120,
texas_ecolab,Sansaba_2020_01,31.28807,-98.619493,351,
texas_ecolab,Uvalde_2020_02,29.591111,-100.091111,482,
texas_ecolab,Washington_2020_08,30.284962,-96.406236,107,
texas_ecolab,Williamson_2019_09,30.706792,-97.859829,271,
texas_ecolab,Williamson_2019_10,30.539935,-97.771213,253,
rmbl,almont,38.6544,-106.8611,2475,100
rmbl,cbt,38.8819,-106.9794,2710,100
rmbl,pbm,38.9694,-107.0411,3380,100
rmbl,pfeiler,38.9606,-107.0314,3155,100
rmbl,road,38.8972,-106.9786,2815,100
rmbl,cinnamon,38.9915,-107.0663,3463,100
neon,BONA,65.15401,-147.50258,230,
neon,CLBJ,33.40123,-97.57,272,
neon,CPER,40.815536,-104.74559,1654,
neon,GUAN,17.96955,-66.8687,125,
neon,HARV,42.53691,-72.17265,348,
neon,KONZ,39.100774,-96.563075,414,
neon,NIWO,40.05425,-105.58237,3490,
neon,ONAQ,40.177599,-112.45245,1662,
neon,ORNL,35.964128,-84.282588,344,
neon,OSBS,29.689282,-81.993431,46,
neon,PUUM,19.55309,-155.31731,1685,
neon,SCBI,38.892925,-78.139494,352,
neon,SJER,37.10878,-119.73228,400,
neon,SRER,31.91068,-110.83549,997,
neon,TALL,32.95047,-87.393259,166,
neon,TOOL,68.66109,-149.37047,832,
neon,UNDE,46.23391,-89.537254,521,
neon,WOOD,47.1282,-99.241334,591,
neon,WREF,45.82049,-121.95191,351,
neon,YELL,44.95348,-110.53914,2133,
ithaca_nutrients,Bald_Hill,42.357703,-76.37565,573,100
ithaca_nutrients,Carter_Creek,42.33521,-76.667397,539,100
ithaca_nutrients,Mt_Pleasant,42.467318,-76.384958,469,100
nutnet,abisko.se,68.319867,18.740062,410,
nutnet,ahth.is,65.13335,-19.67206,470,
nutnet,amcamp.us,48.46504064,-123.0143109,41,
nutnet,amlr.is,65.13335,-19.67206,470,
nutnet,anti.ec,-0.467083333,-78.162,4400,
nutnet,arch.us,27.15,-81.18333333,8.2,
nutnet,azi.cn,33.67,101.87,3500,
nutnet,azitwo.cn,33.58,101.53,3500,
nutnet,badlau.de,51.392138,11.877969,120,
nutnet,bari.ar,-41.00644,-71.15323,786,
nutnet,barta.us,42.244586,-99.6518,767,
nutnet,bayr.de,49.91666667,11.58333333,340,
nutnet,bldr.us,39.972022,-105.233544,1633,
nutnet,bnbt.us,39.597007,-95.086276,240,
nutnet,bnch.us,44.27668543,-121.9680169,1318.083,
nutnet,bogong.au,-36.874,147.254,1760,
nutnet,bttr.us,44.27951804,-121.9566829,1500,
nutnet,bunya.au,-26.892138,151.606667,0,
nutnet,burrawan.au,-27.734896,151.139517,425,
nutnet,burren.ie,53.072023,-8.992624,112,
nutnet,bynb.cn,42.8847,82.7088,2470,
nutnet,cbgb.us,41.78506667,-93.38538333,275,
nutnet,cdcr.us,45.425,-93.2115,270,
nutnet,cdpt.us,41.2,-101.63,965,
nutnet,cereep.fr,48.28,2.66,83,
nutnet,chilcas.ar,-36.275556,-58.265556,15,
nutnet,comp.pt,38.82928,-8.791406,200,
nutnet,cowi.ca,48.8088,-123.6301,50,
nutnet,derr.au,-37.80694444,144.7913889,38,
nutnet,doane.us,40.6954,-96.8541,418.19,
nutnet,drake.za,-28.96104204,29.267586,1910,
nutnet,elkh.us,36.984861,-122.05025,50,
nutnet,elliot.us,32.875,-117.052243,200,
nutnet,elva.ee,58.2582861,26.35386,63.5,
nutnet,ethamc.au,-23.7563333,138.4742833,104,
nutnet,ethass.au,-23.63861,138.39897,104,
nutnet,fnly.us,44.4097,-123.28,68,
nutnet,frue.ch,47.113187,8.541821,995,
nutnet,gall.it,43.7971,10.7185,34,
nutnet,gce_brackish.us,31.351333,-81.334667,0,
nutnet,gce_fresh.us,31.335167,-81.478667,0,
nutnet,gce_salt.us,31.519,-81.229667,0,
nutnet,gilb.za,-29.28424,30.29174,1748,
nutnet,glac.us,46.86877222,-123.0343556,33,
nutnet,glcr.us,41.339206,-96.13964,343,
nutnet,hall.us,36.871944,-86.70167,193.6,
nutnet,hart.us,42.723745,-119.49767,1508,
nutnet,hast.us,36.2,-121.55,750,
nutnet,hero.uk,51.411,-0.639,60,
nutnet,hnvr.us,43.41927,-72.13806,271,
nutnet,hogone.us,37.417,-75.686,3,
nutnet,hogtwo.us,37.417,-75.686,3,
nutnet,hopl.us,39.01275343,-123.0603134,598.302,
nutnet,hustai.mn,47.66652778,105.9677778,NA,
nutnet,jasp.us,37.40500045,-122.2411342,120,
nutnet,jena.de,50.93333333,11.53333333,320,
nutnet,jorn.us,32.54434074,-106.8108509,1342,
nutnet,kark.se,68.392169,18.323098,730,
nutnet,kbs.us,42.408986,-85.3909,288,
nutnet,kibber.in,32.31972667,78.00954,4241,
nutnet,kidman.au,-16.10846,130.9531,87,
nutnet,kilp.fi,69.0567,20.8747,700,
nutnet,kiny.au,-36.2,143.75,90,
nutnet,kirik.ee,58.71,23.795,7.5,
nutnet,koffler.ca,44.024047,-79.535881,301,
nutnet,konz.us,39.070856,-96.582821,440,
nutnet,konzn1b.us,39.080936,-96.564825,440,
nutnet,lagoas.br,-20.982778,-51.798889,279,
nutnet,lake.us,43.3791307,-95.1863858,452,
nutnet,lakta.se,68.319867,18.740062,1132,
nutnet,lancaster.uk,53.98562471,-2.628417566,180,
nutnet,lead.us,46.6149,-124.0484,2,
nutnet,look.us,44.20517707,-122.1284473,1500.492,
nutnet,lubb.us,33.60001,-101.89765,976,
nutnet,marc.ar,-37.71516,-57.42451,6,
nutnet,mcdan.us,39.528033,-77.04138,230,
nutnet,mcla.us,38.86427212,-122.4064063,641.801,
nutnet,meto.us,37.417,-75.686,3,
nutnet,mitch.au,-22.483584,143.323501,242,
nutnet,msla.us,46.664613,-114.0005227,1169,
nutnet,msum.us,46.86962418,-96.45352319,310.896,
nutnet,mtca.au,-31.782138,117.610853,285,
nutnet,neba.jp,35.23214,137.662489,1230,
nutnet,nilla.au,-36.896,146.007,280,
nutnet,niwo.us,39.993,-105.375,3050,
nutnet,ovor.mn,47.7688333,106.8850333,NA,
nutnet,pape.de,53.086,7.4728,0.5,
nutnet,pich.ec,-0.0769969,-78.9985045,4200,
nutnet,ping.au,-32.496169,116.972947,338,
nutnet,pinj.au,-27.530556,152.923222,38,
nutnet,podo.ec,-4.11,-79.16,3291,
nutnet,potrok.ar,-51.91602778,-70.40744444,150,
nutnet,rook.uk,51.406,-0.644,60,
nutnet,saana.fi,69.0368,20.8433,600,
nutnet,sage.us,39.43,-120.24,1920,
nutnet,saline.us,39.05,-99.1,440,
nutnet,sandhill.us,34.95738,-79.51774,120.75,
nutnet,sava.us,33.343894,-81.650936,71,
nutnet,sedg.us,34.7,-120.0166667,550,
nutnet,sereng.tz,-2.254503,34.512613,1536,
nutnet,sevi.us,34.3592,-106.6905,1600,
nutnet,sgs.us,40.81667,-104.76667,1650,
nutnet,shps.us,44.242989,-112.198391,910,
nutnet,sier.us,39.23550963,-121.2836963,197.195,
nutnet,smith.us,48.20658068,-122.624754,62,
nutnet,spin.us,38.132222,-84.502778,271.3,
nutnet,spv.ar,-42.653747,-64.171606,70,
nutnet,summ.za,-29.81161,30.71573,679,
nutnet,sval.no,78.7,16.4,50,
nutnet,tejon_foot.us,35.0247536,118.6777248,579.12,
nutnet,tejon_north.us,34.97777778,118.5947222,1645.92,
nutnet,tejon_south.us,34.97111111,118.5819444,1706.88,
nutnet,temple.us,31.044,-97.349,184,
nutnet,thth.is,65.90129,-17.08927,380,
nutnet,tmlr.is,65.90129,-17.08927,380,
nutnet,trel.us,40.075,-88.829,200,
nutnet,tyso.us,38.519092,-90.564792,169,
nutnet,ucsc.us,36.867861,-121.739944,140,
nutnet,ufrec.us,27.433333,-81.916667,26,
nutnet,ukul.za,-29.67,30.4,842.5,
nutnet,unc.us,36.00828,-79.020423,141,
nutnet,uwo.ca,43.193131,-81.317807,325,
nutnet,valm.ch,46.631345,10.372252,2320,
nutnet,vargrass.no,70.32797,29.5398,NA,
nutnet,varheath.no,70.32797,29.5398,NA,
nutnet,vass.se,68.416979,18.274396,608,
nutnet,veluwe.nl,52.05972222,5.751666667,40,
nutnet,wupatki.us,33.583333,-111.579722,1665,
nutnet,yarra.au,-33.61,150.73,19,
