site,latitude,longitude
almont,38.6544,-106.8611
cbt,38.8819,-106.9794
pbm,38.9694,-107.0411
pfeiler,38.9606,-107.0314
road,38.8972,-106.9786
cinnamon,38.9915,-107.0663
