"","experiment","site","latitude","longitude","elevation_m","c3_percent","c4_percent"
"64","nutnet","badlau.de",51.392138,11.877969,120,100,0
"65","nutnet","bari.ar",-41.00644,-71.15323,786,100,0
"66","nutnet","barta.us",42.244586,-99.6518,767,59.5617283950617,40.4382716049383
"67","nutnet","bayr.de",49.91666667,11.58333333,340,100,0
"68","nutnet","bldr.us",39.972022,-105.233544,1633,70.649534006202,29.350465993798
"69","nutnet","bnbt.us",39.597007,-95.086276,240,59.9380435691196,40.0619564308804
"70","nutnet","bnch.us",44.27668543,-121.9680169,1318.083,100,0
"71","nutnet","bogong.au",-36.874,147.254,1760,100,0
"72","nutnet","bttr.us",44.27951804,-121.9566829,1500,100,0
"73","nutnet","bunya.au",-26.892138,151.606667,0,5.12178201709641,94.8782179829036
"74","nutnet","burrawan.au",-27.734896,151.139517,425,22.6232533822142,77.3767466177858
"75","nutnet","burren.ie",53.072023,-8.992624,112,100,0
"76","nutnet","bynb.cn",42.8847,82.7088,2470,100,0
"77","nutnet","cbgb.us",41.78506667,-93.38538333,275,45.9124181102047,54.0875818897953
"78","nutnet","cdcr.us",45.425,-93.2115,270,30.9730261756898,69.0269738243102
"79","nutnet","cdpt.us",41.2,-101.63,965,72.3274005960542,27.6725994039458
"80","nutnet","cereep.fr",48.28,2.66,83,100,0
"81","nutnet","chilcas.ar",-36.275556,-58.265556,15,97.4025974025974,2.5974025974026
"82","nutnet","comp.pt",38.82928,-8.791406,200,100,0
"83","nutnet","cowi.ca",48.8088,-123.6301,50,100,0
"84","nutnet","derr.au",-37.80694444,144.7913889,38,9.08049620657862,90.9195037934214
"85","nutnet","doane.us",40.6954,-96.8541,418.19,28.5698146650081,71.4301853349919
"86","nutnet","drake.za",-28.96104204,29.267586,1910,24.8667517151445,75.1332482848555
"87","nutnet","elkh.us",36.984861,-122.05025,50,100,0
"88","nutnet","elliot.us",32.875,-117.052243,200,100,0
"89","nutnet","elva.ee",58.2582861,26.35386,63.5,100,0
"90","nutnet","ethamc.au",-23.7563333,138.4742833,104,38.4598986076068,61.5401013923932
"91","nutnet","ethass.au",-23.63861,138.39897,104,31.0072826338562,68.9927173661438
"92","nutnet","fnly.us",44.4097,-123.28,68,100,0
"93","nutnet","frue.ch",47.113187,8.541821,995,100,0
"94","nutnet","gall.it",43.7971,10.7185,34,99.8729674796748,0.127032520325203
"95","nutnet","gce_brackish.us",31.351333,-81.334667,0,61.3153147725486,38.6846852274514
"96","nutnet","gce_fresh.us",31.335167,-81.478667,0,100,0
"97","nutnet","gce_salt.us",31.519,-81.229667,0,45.4069576092269,54.5930423907731
"98","nutnet","gilb.za",-29.28424,30.29174,1748,35.3294985323966,64.6705014676034
"99","nutnet","glac.us",46.86877222,-123.0343556,33,100,0
"100","nutnet","glcr.us",41.339206,-96.13964,343,3.21319165693261,96.7868083430674
"101","nutnet","hall.us",36.871944,-86.70167,193.6,48.5897672321941,51.4102327678059
"102","nutnet","hart.us",42.723745,-119.49767,1508,100,0
"103","nutnet","hast.us",36.2,-121.55,750,100,0
"104","nutnet","hero.uk",51.411,-0.639,60,100,0
"105","nutnet","hnvr.us",43.41927,-72.13806,271,100,0
"106","nutnet","hogone.us",37.417,-75.686,3,64.1555432050482,35.8444567949518
"107","nutnet","hogtwo.us",37.417,-75.686,3,58.8077360201254,41.1922639798746
"108","nutnet","hopl.us",39.01275343,-123.0603134,598.302,100,0
"109","nutnet","hustai.mn",47.66652778,105.9677778,NA,98.578682941113,1.42131705888699
"110","nutnet","jasp.us",37.40500045,-122.2411342,120,100,0
"111","nutnet","jena.de",50.93333333,11.53333333,320,100,0
"112","nutnet","jorn.us",32.54434074,-106.8108509,1342,14.4099884770223,85.5900115229777
"113","nutnet","kark.se",68.392169,18.323098,730,100,0
"114","nutnet","kbs.us",42.408986,-85.3909,288,100,0
"115","nutnet","kibber.in",32.31972667,78.00954,4241,100,0
"116","nutnet","kidman.au",-16.10846,130.9531,87,7.16242558347821,92.8375744165218
"117","nutnet","kilp.fi",69.0567,20.8747,700,100,0
"118","nutnet","kiny.au",-36.2,143.75,90,92.001148435257,7.99885156474304
"119","nutnet","kirik.ee",58.71,23.795,7.5,100,0
"120","nutnet","koffler.ca",44.024047,-79.535881,301,100,0
"121","nutnet","konz.us",39.070856,-96.582821,440,31.1676286676287,68.8323713323713
"122","nutnet","konzn1b.us",39.080936,-96.564825,440,55.0396049084586,44.9603950915414
"123","nutnet","lagoas.br",-20.982778,-51.798889,279,64.5923520923521,35.4076479076479
"124","nutnet","lake.us",43.3791307,-95.1863858,452,69.7555612521006,30.2444387478994
"125","nutnet","lakta.se",68.319867,18.740062,1132,100,0
"126","nutnet","lancaster.uk",53.98562471,-2.628417566,180,100,0
"127","nutnet","lead.us",46.6149,-124.0484,2,62.5776111889313,37.4223888110687
"128","nutnet","look.us",44.20517707,-122.1284473,1500.492,100,0
"129","nutnet","lubb.us",33.60001,-101.89765,976,68.75,31.25
"130","nutnet","marc.ar",-37.71516,-57.42451,6,81.6519491619694,18.3480508380306
"131","nutnet","mcdan.us",39.528033,-77.04138,230,86.4234718393445,13.5765281606555
"132","nutnet","mcla.us",38.86427212,-122.4064063,641.801,100,0
"133","nutnet","meto.us",37.417,-75.686,3,68.6387300542552,31.3612699457448
