date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2020-12-01",2.83,0.01,12.48,2.07,0.00,86377.0,0
"2020-12-02",1.82,0.02,8.98,0.87,0.00,86378.0,0
"2020-12-03",2.11,0.02,7.94,0.80,0.00,86367.0,0
"2020-12-04",1.69,0.02,8.24,0.86,0.00,86375.0,0
"2020-12-05",1.91,0.00,10.44,0.87,0.00,86375.0,0
"2020-12-06",1.16,0.00,5.49,0.35,0.00,86370.0,0
"2020-12-07",2.14,0.00,10.73,2.20,0.01,86372.0,0
"2020-12-08",2.37,0.00,10.29,1.45,0.00,86376.0,0
"2020-12-09",1.71,0.01,6.80,0.64,0.00,77055.0,0
"2020-12-10",1.69,0.00,5.26,0.65,0.00,86372.0,0
"2020-12-11",1.39,0.00,5.77,0.61,0.00,86371.0,0
"2020-12-12",1.28,0.00,4.80,0.40,0.00,86372.0,0
"2020-12-13",0.84,0.00,4.94,0.28,0.00,86373.0,0
"2020-12-14",2.68,0.04,12.95,2.07,0.00,86372.0,0
"2020-12-15",2.30,0.02,8.82,1.19,0.00,86372.0,0
"2020-12-16",1.67,0.00,8.94,1.10,0.00,86371.0,0
"2020-12-17",2.17,0.01,8.36,1.29,0.00,86293.0,0
"2020-12-18",1.95,0.01,9.88,1.10,0.00,86371.0,0
"2020-12-19",2.62,0.02,7.24,0.97,0.00,86370.0,0
"2020-12-20",1.67,0.00,9.29,1.21,0.00,86376.0,0
"2020-12-21",2.35,0.03,10.83,1.44,0.00,86374.0,0
"2020-12-22",1.68,0.01,6.20,0.49,0.00,86367.0,0
"2020-12-23",1.83,0.01,7.70,0.66,0.00,86370.0,0
"2020-12-24",3.20,0.01,26.77,5.34,0.01,86376.0,0
"2020-12-25",3.68,0.03,14.99,3.69,0.01,86374.0,0
"2020-12-26",1.32,0.00,6.64,0.56,0.00,86373.0,0
"2020-12-27",1.71,0.00,6.27,0.85,0.00,81757.0,0
"2020-12-28",2.01,0.01,6.38,0.49,0.00,86377.0,0
"2020-12-29",2.18,0.03,7.32,0.82,0.00,86370.0,0
"2020-12-30",2.39,0.03,8.33,0.99,0.00,86371.0,0
"2020-12-31",2.72,0.04,11.79,1.66,0.00,79298.0,0
